candidate,candidate_method,requested_sensor_count,sensor_count,missing_sensor_count,lmax,lambda_reg,include_l0,mode_count,case_count,sample_count,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_nearfield_fit_relative_error,max_nearfield_fit_relative_error,max_basis_condition,max_mode_sensor_ratio,any_component_underdetermined,status,status_rank
dictionary_weighted_120,dictionary_weighted,120,120,0,4,1e-10,False,24,2,2,0.9996712893321067,0.9995025144224762,0.00036424033065470945,0.0005977276277294137,0.0,0.0,0.015277449619408709,0.017524295807039552,91.57008364673112,0.2,False,strict_pass,0
dictionary_weighted_120,dictionary_weighted,120,120,0,4,0.0,False,24,2,2,0.9996712893224198,0.9995025144092848,0.00036424036385655225,0.0005977276839114865,0.0,0.0,0.015277449619408696,0.017524295807039552,91.57008364673112,0.2,False,strict_pass,0
dictionary_weighted_120,dictionary_weighted,120,120,0,4,1e-08,False,24,2,2,0.9996712902910796,0.999502515728371,0.00036423704369297096,0.0005977220657246737,0.0,0.0,0.01527744961942661,0.01752429580705479,91.57008364673112,0.2,False,strict_pass,0
dictionary_weighted_120,dictionary_weighted,120,120,0,4,1e-06,False,24,2,2,0.9996713861465543,0.9995026462710892,0.00036390858245204913,0.0005971661179715621,0.0,0.0,0.015277449798726483,0.01752429596016754,91.57008364673112,0.2,False,strict_pass,0
dictionary_weighted_120,dictionary_weighted,120,120,0,2,0.0,False,8,2,2,0.9308724599545517,0.9272484956279649,0.05352699935801143,0.06377190801625422,66.00960180620625,66.00960180620626,0.10210284084365731,0.10988830942996046,4.541850308603114,0.06666666666666667,False,diagnostic_only,3
dictionary_weighted_120,dictionary_weighted,120,120,0,2,1e-10,False,8,2,2,0.9308724599514291,0.9272484956250069,0.053526999360784186,0.06377190801985161,66.00960180620625,66.00960180620626,0.10210284084365732,0.10988830942996047,4.541850308603114,0.06666666666666667,False,diagnostic_only,3
dictionary_weighted_120,dictionary_weighted,120,120,0,2,1e-08,False,8,2,2,0.9308724596422382,0.9272484953320842,0.05352699963530736,0.06377190837600023,66.00960180620625,66.00960180620626,0.10210284084365737,0.1098883094299605,4.541850308603114,0.06666666666666667,False,diagnostic_only,3
dictionary_weighted_120,dictionary_weighted,120,120,0,2,1e-06,False,8,2,2,0.9308724287231629,0.9272484660398709,0.053527027087633405,0.06377194399086801,66.00960180620625,66.00960180620626,0.10210284084395362,0.10988830943024219,4.541850308603114,0.06666666666666667,False,diagnostic_only,3
dictionary_weighted_120,dictionary_weighted,120,120,0,5,1e-10,False,35,2,2,0.9994351956403662,0.9992469675531443,0.0005109183197466842,0.0007262785440253645,64.99084406680475,69.90719333154082,0.012505120897892082,0.013930382537440542,587.9658925358831,0.2916666666666667,False,diagnostic_only,3
dictionary_weighted_120,dictionary_weighted,120,120,0,5,0.0,False,35,2,2,0.999435195703065,0.9992469676212364,0.0005109182754629859,0.0007262785009110456,64.99084406680475,69.90719333154082,0.012505120897892102,0.013930382537440578,587.9658925358831,0.2916666666666667,False,diagnostic_only,3
